CollisionMortality,k,ScalarMultiplier,RemovalInterval,code,deathsWY,mortalityWY,Albany_totalEagles,Albany_SU,Albany_SUremoved50p,Albany_GEdeathNR50,Albany_GEdeathWR50,Albany_GEdeathNR20,Albany_GEdeathWR20,Albany_GEdeathNR80,Albany_GEdeathWR80,Big Horn_totalEagles,Big Horn_SU,Big Horn_SUremoved50p,Big Horn_GEdeathNR50,Big Horn_GEdeathWR50,Big Horn_GEdeathNR20,Big Horn_GEdeathWR20,Big Horn_GEdeathNR80,Big Horn_GEdeathWR80,Campbell_totalEagles,Campbell_SU,Campbell_SUremoved50p,Campbell_GEdeathNR50,Campbell_GEdeathWR50,Campbell_GEdeathNR20,Campbell_GEdeathWR20,Campbell_GEdeathNR80,Campbell_GEdeathWR80,Carbon_totalEagles,Carbon_SU,Carbon_SUremoved50p,Carbon_GEdeathNR50,Carbon_GEdeathWR50,Carbon_GEdeathNR20,Carbon_GEdeathWR20,Carbon_GEdeathNR80,Carbon_GEdeathWR80,Converse_totalEagles,Converse_SU,Converse_SUremoved50p,Converse_GEdeathNR50,Converse_GEdeathWR50,Converse_GEdeathNR20,Converse_GEdeathWR20,Converse_GEdeathNR80,Converse_GEdeathWR80,Crook_totalEagles,Crook_SU,Crook_SUremoved50p,Crook_GEdeathNR50,Crook_GEdeathWR50,Crook_GEdeathNR20,Crook_GEdeathWR20,Crook_GEdeathNR80,Crook_GEdeathWR80,Fremont_totalEagles,Fremont_SU,Fremont_SUremoved50p,Fremont_GEdeathNR50,Fremont_GEdeathWR50,Fremont_GEdeathNR20,Fremont_GEdeathWR20,Fremont_GEdeathNR80,Fremont_GEdeathWR80,Goshen_totalEagles,Goshen_SU,Goshen_SUremoved50p,Goshen_GEdeathNR50,Goshen_GEdeathWR50,Goshen_GEdeathNR20,Goshen_GEdeathWR20,Goshen_GEdeathNR80,Goshen_GEdeathWR80,Hot Springs_totalEagles,Hot Springs_SU,Hot Springs_SUremoved50p,Hot Springs_GEdeathNR50,Hot Springs_GEdeathWR50,Hot Springs_GEdeathNR20,Hot Springs_GEdeathWR20,Hot Springs_GEdeathNR80,Hot Springs_GEdeathWR80,Johnson_totalEagles,Johnson_SU,Johnson_SUremoved50p,Johnson_GEdeathNR50,Johnson_GEdeathWR50,Johnson_GEdeathNR20,Johnson_GEdeathWR20,Johnson_GEdeathNR80,Johnson_GEdeathWR80,Laramie_totalEagles,Laramie_SU,Laramie_SUremoved50p,Laramie_GEdeathNR50,Laramie_GEdeathWR50,Laramie_GEdeathNR20,Laramie_GEdeathWR20,Laramie_GEdeathNR80,Laramie_GEdeathWR80,Lincoln_totalEagles,Lincoln_SU,Lincoln_SUremoved50p,Lincoln_GEdeathNR50,Lincoln_GEdeathWR50,Lincoln_GEdeathNR20,Lincoln_GEdeathWR20,Lincoln_GEdeathNR80,Lincoln_GEdeathWR80,Natrona_totalEagles,Natrona_SU,Natrona_SUremoved50p,Natrona_GEdeathNR50,Natrona_GEdeathWR50,Natrona_GEdeathNR20,Natrona_GEdeathWR20,Natrona_GEdeathNR80,Natrona_GEdeathWR80,Niobrara_totalEagles,Niobrara_SU,Niobrara_SUremoved50p,Niobrara_GEdeathNR50,Niobrara_GEdeathWR50,Niobrara_GEdeathNR20,Niobrara_GEdeathWR20,Niobrara_GEdeathNR80,Niobrara_GEdeathWR80,Park_totalEagles,Park_SU,Park_SUremoved50p,Park_GEdeathNR50,Park_GEdeathWR50,Park_GEdeathNR20,Park_GEdeathWR20,Park_GEdeathNR80,Park_GEdeathWR80,Platte_totalEagles,Platte_SU,Platte_SUremoved50p,Platte_GEdeathNR50,Platte_GEdeathWR50,Platte_GEdeathNR20,Platte_GEdeathWR20,Platte_GEdeathNR80,Platte_GEdeathWR80,Sheridan_totalEagles,Sheridan_SU,Sheridan_SUremoved50p,Sheridan_GEdeathNR50,Sheridan_GEdeathWR50,Sheridan_GEdeathNR20,Sheridan_GEdeathWR20,Sheridan_GEdeathNR80,Sheridan_GEdeathWR80,Sublette_totalEagles,Sublette_SU,Sublette_SUremoved50p,Sublette_GEdeathNR50,Sublette_GEdeathWR50,Sublette_GEdeathNR20,Sublette_GEdeathWR20,Sublette_GEdeathNR80,Sublette_GEdeathWR80,Sweetwater_totalEagles,Sweetwater_SU,Sweetwater_SUremoved50p,Sweetwater_GEdeathNR50,Sweetwater_GEdeathWR50,Sweetwater_GEdeathNR20,Sweetwater_GEdeathWR20,Sweetwater_GEdeathNR80,Sweetwater_GEdeathWR80,Teton_totalEagles,Teton_SU,Teton_SUremoved50p,Teton_GEdeathNR50,Teton_GEdeathWR50,Teton_GEdeathNR20,Teton_GEdeathWR20,Teton_GEdeathNR80,Teton_GEdeathWR80,Uinta_totalEagles,Uinta_SU,Uinta_SUremoved50p,Uinta_GEdeathNR50,Uinta_GEdeathWR50,Uinta_GEdeathNR20,Uinta_GEdeathWR20,Uinta_GEdeathNR80,Uinta_GEdeathWR80,Washakie_totalEagles,Washakie_SU,Washakie_SUremoved50p,Washakie_GEdeathNR50,Washakie_GEdeathWR50,Washakie_GEdeathNR20,Washakie_GEdeathWR20,Washakie_GEdeathNR80,Washakie_GEdeathWR80,Weston_totalEagles,Weston_SU,Weston_SUremoved50p,Weston_GEdeathNR50,Weston_GEdeathWR50,Weston_GEdeathNR20,Weston_GEdeathWR20,Weston_GEdeathNR80,Weston_GEdeathWR80
0.000080,10.000000,5.000000,0.000000,8e-05_10_5,1.480242,0.000195,334.788833,35.200000,0.000000,0.025564,0.025564,0.020994,0.020994,0.026576,0.026576,245.448852,167.600000,0.000000,0.136346,0.136346,0.132752,0.132752,0.142993,0.142993,373.471560,32.000000,0.000000,0.018436,0.018436,0.015970,0.015970,0.019895,0.019895,618.796953,192.400000,0.000000,0.182760,0.182760,0.179742,0.179742,0.188656,0.188656,331.393599,40.700000,0.000000,0.020977,0.020977,0.019179,0.019179,0.022577,0.022577,222.636194,9.300000,0.000000,0.007170,0.007170,0.005366,0.005366,0.008054,0.008054,719.946023,222.400000,0.000000,0.115932,0.115932,0.113867,0.113867,0.121632,0.121632,173.439077,12.400000,0.000000,0.007187,0.007187,0.005614,0.005614,0.007815,0.007815,155.896891,120.500000,0.000000,0.060110,0.060110,0.056613,0.056613,0.061766,0.061766,324.364527,95.900000,0.000000,0.087023,0.087023,0.078873,0.078873,0.088208,0.088208,208.823086,42.600000,0.000000,0.015425,0.015425,0.013434,0.013434,0.018981,0.018981,318.208004,276.600000,0.000000,0.185804,0.185804,0.182578,0.182578,0.193695,0.193695,417.687938,85.700000,0.000000,0.044539,0.044539,0.043030,0.043030,0.048663,0.048663,204.189595,20.000000,0.000000,0.011550,0.011550,0.009871,0.009871,0.012449,0.012449,541.362298,174.700000,0.000000,0.069107,0.069107,0.067381,0.067381,0.071377,0.071377,164.011936,68.600000,0.000000,0.050915,0.050915,0.048061,0.048061,0.052559,0.052559,196.353077,63.400000,0.000000,0.060296,0.060296,0.054772,0.054772,0.062959,0.062959,383.500649,250.000000,0.000000,0.144847,0.144847,0.139747,0.139747,0.147997,0.147997,815.152847,44.900000,0.000000,0.031411,0.031411,0.029979,0.029979,0.033831,0.033831,327.607053,46.300000,0.000000,0.005692,0.005692,0.005268,0.005268,0.006740,0.006740,162.204002,204.200000,0.000000,0.100950,0.100950,0.098164,0.098164,0.106030,0.106030,174.257283,103.500000,0.000000,0.067912,0.067912,0.062244,0.062244,0.071540,0.071540,186.482149,49.600000,0.000000,0.030288,0.030288,0.028916,0.028916,0.033601,0.033601
0.000080,10.000000,5.000000,1.000000,8e-05_10_5,1.480242,0.000195,334.788833,35.200000,35.200000,0.025564,0.007492,0.020994,0.005964,0.026576,0.008346,245.448852,167.600000,167.600000,0.136346,0.040877,0.132752,0.037590,0.142993,0.046030,373.471560,32.000000,32.000000,0.018436,0.005317,0.015970,0.004732,0.019895,0.006333,618.796953,192.400000,192.400000,0.182760,0.054723,0.179742,0.054266,0.188656,0.057298,331.393599,40.700000,40.700000,0.020977,0.006298,0.019179,0.005541,0.022577,0.006674,222.636194,9.300000,9.300000,0.007170,0.002390,0.005366,0.001645,0.008054,0.003065,719.946023,222.400000,222.400000,0.115932,0.034886,0.113867,0.033921,0.121632,0.035762,173.439077,12.400000,12.400000,0.007187,0.001907,0.005614,0.001378,0.007815,0.002109,155.896891,120.500000,120.500000,0.060110,0.017409,0.056613,0.016985,0.061766,0.018900,324.364527,95.900000,95.900000,0.087023,0.024596,0.078873,0.022426,0.088208,0.028652,208.823086,42.600000,42.600000,0.015425,0.004559,0.013434,0.004019,0.018981,0.005226,318.208004,276.600000,276.600000,0.185804,0.055356,0.182578,0.052411,0.193695,0.056686,417.687938,85.700000,85.700000,0.044539,0.012859,0.043030,0.012113,0.048663,0.014749,204.189595,20.000000,20.000000,0.011550,0.003416,0.009871,0.002870,0.012449,0.003836,541.362298,174.700000,174.700000,0.069107,0.020563,0.067381,0.020028,0.071377,0.021654,164.011936,68.600000,68.600000,0.050915,0.014748,0.048061,0.013446,0.052559,0.016238,196.353077,63.400000,63.400000,0.060296,0.017566,0.054772,0.015820,0.062959,0.018979,383.500649,250.000000,250.000000,0.144847,0.042544,0.139747,0.040777,0.147997,0.043959,815.152847,44.900000,44.900000,0.031411,0.009867,0.029979,0.007872,0.033831,0.010802,327.607053,46.300000,46.300000,0.005692,0.001491,0.005268,0.001294,0.006740,0.001996,162.204002,204.200000,204.200000,0.100950,0.030082,0.098164,0.028392,0.106030,0.031066,174.257283,103.500000,103.500000,0.067912,0.019738,0.062244,0.018011,0.071540,0.020781,186.482149,49.600000,49.600000,0.030288,0.009596,0.028916,0.007993,0.033601,0.010431
0.000080,40.000000,5.000000,0.000000,8e-05_40_5,12.177136,0.001602,334.788833,35.900000,0.000000,0.186698,0.186698,0.173745,0.173745,0.210998,0.210998,245.448852,166.500000,0.000000,0.950348,0.950348,0.909780,0.909780,0.970744,0.970744,373.471560,31.400000,0.000000,0.141455,0.141455,0.125434,0.125434,0.153604,0.153604,618.796953,192.000000,0.000000,1.108192,1.108192,1.069418,1.069418,1.150372,1.150372,331.393599,39.900000,0.000000,0.153589,0.153589,0.148557,0.148557,0.164888,0.164888,222.636194,11.100000,0.000000,0.047284,0.047284,0.042169,0.042169,0.062210,0.062210,719.946023,222.600000,0.000000,1.265425,1.265425,1.207844,1.207844,1.287904,1.287904,173.439077,11.600000,0.000000,0.062651,0.062651,0.057243,0.057243,0.066575,0.066575,155.896891,120.600000,0.000000,0.601274,0.601274,0.568403,0.568403,0.623660,0.623660,324.364527,96.700000,0.000000,0.461061,0.461061,0.438839,0.438839,0.474834,0.474834,208.823086,40.900000,0.000000,0.119388,0.119388,0.113441,0.113441,0.134278,0.134278,318.208004,275.400000,0.000000,1.740558,1.740558,1.711368,1.711368,1.768547,1.768547,417.687938,87.000000,0.000000,0.339602,0.339602,0.321226,0.321226,0.361828,0.361828,204.189595,19.800000,0.000000,0.115946,0.115946,0.095644,0.095644,0.124856,0.124856,541.362298,174.000000,0.000000,0.802798,0.802798,0.772794,0.772794,0.832445,0.832445,164.011936,68.600000,0.000000,0.280287,0.280287,0.268462,0.268462,0.288551,0.288551,196.353077,63.600000,0.000000,0.344863,0.344863,0.319480,0.319480,0.383725,0.383725,383.500649,250.200000,0.000000,1.494329,1.494329,1.445466,1.445466,1.538237,1.538237,815.152847,44.900000,0.000000,0.198108,0.198108,0.188825,0.188825,0.213978,0.213978,327.607053,46.200000,0.000000,0.082172,0.082172,0.072361,0.072361,0.085477,0.085477,162.204002,204.400000,0.000000,0.848149,0.848149,0.836710,0.836710,0.882076,0.882076,174.257283,103.900000,0.000000,0.566328,0.566328,0.539153,0.539153,0.597738,0.597738,186.482149,49.800000,0.000000,0.266631,0.266631,0.257464,0.257464,0.297466,0.297466
0.000080,40.000000,5.000000,1.000000,8e-05_40_5,12.177136,0.001602,334.788833,35.900000,35.900000,0.186698,0.063023,0.173745,0.058612,0.210998,0.069231,245.448852,166.500000,166.500000,0.950348,0.279052,0.909780,0.266622,0.970744,0.286724,373.471560,31.400000,31.400000,0.141455,0.041377,0.125434,0.034653,0.153604,0.053258,618.796953,192.000000,192.000000,1.108192,0.334214,1.069418,0.315756,1.150372,0.362170,331.393599,39.900000,39.900000,0.153589,0.044302,0.148557,0.038300,0.164888,0.051381,222.636194,11.100000,11.100000,0.047284,0.014081,0.042169,0.011591,0.062210,0.015912,719.946023,222.600000,222.600000,1.265425,0.370029,1.207844,0.354370,1.287904,0.383635,173.439077,11.600000,11.600000,0.062651,0.019334,0.057243,0.012336,0.066575,0.020886,155.896891,120.600000,120.600000,0.601274,0.176012,0.568403,0.167231,0.623660,0.186717,324.364527,96.700000,96.700000,0.461061,0.134834,0.438839,0.125807,0.474834,0.140092,208.823086,40.900000,40.900000,0.119388,0.036749,0.113441,0.033250,0.134278,0.039696,318.208004,275.400000,275.400000,1.740558,0.518043,1.711368,0.491129,1.768547,0.529962,417.687938,87.000000,87.000000,0.339602,0.100749,0.321226,0.096468,0.361828,0.105092,204.189595,19.800000,19.800000,0.115946,0.033890,0.095644,0.027138,0.124856,0.037173,541.362298,174.000000,174.000000,0.802798,0.230971,0.772794,0.222947,0.832445,0.246536,164.011936,68.600000,68.600000,0.280287,0.086249,0.268462,0.082615,0.288551,0.093015,196.353077,63.600000,63.600000,0.344863,0.108239,0.319480,0.089063,0.383725,0.116956,383.500649,250.200000,250.200000,1.494329,0.437419,1.445466,0.427564,1.538237,0.452209,815.152847,44.900000,44.900000,0.198108,0.058985,0.188825,0.054538,0.213978,0.066940,327.607053,46.200000,46.200000,0.082172,0.024272,0.072361,0.021435,0.085477,0.025017,162.204002,204.400000,204.400000,0.848149,0.252774,0.836710,0.235283,0.882076,0.270149,174.257283,103.900000,103.900000,0.566328,0.155706,0.539153,0.149530,0.597738,0.175319,186.482149,49.800000,49.800000,0.266631,0.080348,0.257464,0.073701,0.297466,0.089840
